unit_id,language,symbol,cc_lizard_1_23_0,relative_path,seed
PY_015_longest_palindrome_substring,python,longest_palindrome_substring,11,experiment/input_code/python_dataset/python_functions.py,20260628
PY_002_binary_search,python,binary_search,5,experiment/input_code/python_dataset/python_functions.py,20260628
PY_012_check_sudoku_board,python,check_sudoku_board,14,experiment/input_code/python_dataset/python_functions.py,20260628
PY_003_is_valid_email,python,is_valid_email,13,experiment/input_code/python_dataset/python_functions.py,20260628
PY_017_levenshtein_distance,python,levenshtein_distance,9,experiment/input_code/python_dataset/python_functions.py,20260628
JAVA_015_longestPalindromeSubstring,java,longestPalindromeSubstring,12,experiment/input_code/java_dataset/JavaAlgorithms.java,20260628
JAVA_002_binarySearch,java,binarySearch,6,experiment/input_code/java_dataset/JavaAlgorithms.java,20260628
JAVA_012_checkSudokuBoard,java,checkSudokuBoard,13,experiment/input_code/java_dataset/JavaAlgorithms.java,20260628
JAVA_003_isValidEmail,java,isValidEmail,15,experiment/input_code/java_dataset/JavaAlgorithms.java,20260628
JAVA_017_levenshteinDistance,java,levenshteinDistance,8,experiment/input_code/java_dataset/JavaAlgorithms.java,20260628
